ら戳,秨絃计,程蔼计,程计,Μ絃计
105/08/01,"9,008.74","9,080.71","9,008.74","9,080.71"
105/08/02,"9,081.06","9,086.42","9,052.71","9,068.76"
105/08/03,"9,000.82","9,033.95","8,948.40","9,001.71"
105/08/04,"9,009.29","9,035.25","8,972.31","9,024.71"
105/08/05,"9,025.76","9,101.71","9,023.23","9,092.12"
105/08/08,"9,123.07","9,153.99","9,104.43","9,150.26"
105/08/09,"9,154.00","9,168.34","9,127.63","9,155.08"
105/08/10,"9,160.94","9,200.42","9,131.63","9,200.42"
105/08/11,"9,168.70","9,187.18","9,063.81","9,131.83"
105/08/12,"9,135.34","9,173.72","9,135.34","9,150.39"
105/08/15,"9,152.36","9,162.02","9,117.26","9,148.51"
105/08/16,"9,146.09","9,165.58","9,082.34","9,110.36"
105/08/17,"9,121.18","9,133.07","9,073.27","9,117.70"
105/08/18,"9,104.88","9,128.80","9,093.51","9,122.50"
105/08/19,"9,139.69","9,175.13","9,034.27","9,034.27"
105/08/22,"9,004.68","9,012.72","8,928.33","8,981.81"
105/08/23,"8,987.07","9,046.30","8,986.76","9,030.93"
105/08/24,"9,043.13","9,054.76","9,016.39","9,017.38"
105/08/25,"9,034.47","9,115.47","9,031.34","9,115.47"
105/08/26,"9,097.02","9,131.72","9,092.08","9,131.72"
105/08/29,"9,117.53","9,136.42","9,027.35","9,110.17"
105/08/30,"9,113.34","9,134.37","9,093.87","9,110.56"
105/08/31,"9,122.19","9,130.76","9,044.50","9,068.85"
105/09/01,"9,055.73","9,069.13","8,980.21","9,001.15"
105/09/02,"9,015.63","9,038.48","8,958.81","8,987.55"
105/09/05,"9,032.38","9,100.05","9,032.38","9,090.13"
105/09/06,"9,102.83","9,181.85","9,098.60","9,181.85"
105/09/07,"9,202.23","9,278.88","9,202.23","9,259.07"
105/09/08,"9,241.95","9,273.57","9,224.89","9,262.89"
105/09/09,"9,217.37","9,217.37","9,142.13","9,164.88"
105/09/10,"9,084.81","9,084.81","9,025.53","9,053.69"
105/09/12,"9,031.51","9,031.51","8,947.06","8,947.06"
105/09/13,"8,983.95","9,014.75","8,885.55","8,940.83"
105/09/14,"8,913.11","8,965.32","8,895.85","8,902.30"
105/09/19,"9,003.41","9,155.38","9,003.41","9,152.88"
105/09/20,"9,141.21","9,173.46","9,130.90","9,161.58"
105/09/21,"9,141.92","9,228.50","9,133.16","9,228.50"
105/09/22,"9,265.28","9,290.76","9,207.41","9,235.26"
105/09/23,"9,240.25","9,284.62","9,228.66","9,284.62"
105/09/26,"9,229.34","9,229.34","9,189.49","9,194.52"
105/09/29,"9,241.61","9,303.13","9,238.49","9,270.90"
105/09/30,"9,240.44","9,240.65","9,160.91","9,166.85"
105/10/03,"9,219.52","9,256.58","9,212.38","9,234.20"
105/10/04,"9,228.66","9,287.77","9,224.45","9,287.77"
105/10/05,"9,260.69","9,276.13","9,244.41","9,272.28"
105/10/06,"9,263.40","9,284.31","9,242.83","9,284.31"
105/10/07,"9,289.66","9,289.95","9,249.06","9,265.81"
105/10/11,"9,311.79","9,327.71","9,167.72","9,219.82"
105/10/12,"9,201.55","9,258.69","9,166.58","9,252.60"
105/10/13,"9,268.22","9,285.05","9,187.78","9,219.17"
105/10/14,"9,198.26","9,216.63","9,149.87","9,165.17"
105/10/17,"9,150.67","9,182.67","9,074.99","9,176.22"
105/10/18,"9,175.07","9,222.58","9,157.40","9,222.58"
105/10/19,"9,227.98","9,298.87","9,226.46","9,283.99"
105/10/20,"9,288.49","9,331.89","9,279.15","9,317.24"
105/10/21,"9,322.55","9,348.09","9,292.53","9,306.57"
105/10/24,"9,333.94","9,343.57","9,308.53","9,322.50"
105/10/25,"9,338.09","9,399.97","9,334.80","9,385.65"
105/10/26,"9,355.66","9,372.74","9,338.84","9,362.25"
105/10/27,"9,363.90","9,370.32","9,286.86","9,299.55"
105/10/28,"9,307.39","9,320.57","9,276.71","9,306.92"
105/10/31,"9,283.20","9,314.34","9,194.48","9,290.12"
105/11/01,"9,272.30","9,289.12","9,236.82","9,272.70"
105/11/02,"9,230.23","9,230.23","9,139.04","9,139.04"
105/11/03,"9,126.29","9,154.19","9,067.27","9,067.27"
105/11/04,"9,065.11","9,098.88","9,048.21","9,068.15"
105/11/07,"9,102.97","9,191.67","9,102.97","9,189.84"
105/11/08,"9,214.95","9,230.20","9,165.00","9,217.43"
105/11/09,"9,252.27","9,296.86","8,926.60","8,943.20"
105/11/10,"9,070.64","9,179.18","9,070.64","9,152.18"
105/11/11,"9,067.65","9,067.65","8,949.38","8,957.76"
105/11/14,"8,955.27","8,991.94","8,879.69","8,940.40"
105/11/15,"8,927.92","8,981.05","8,923.36","8,931.03"
105/11/16,"8,955.76","9,032.31","8,955.76","8,962.22"
105/11/17,"8,984.57","8,998.23","8,936.30","8,995.26"
105/11/18,"8,991.50","9,025.98","8,958.22","9,008.79"
105/11/21,"9,009.78","9,049.76","8,986.40","9,041.11"
105/11/22,"9,058.58","9,161.19","9,058.58","9,133.39"
105/11/23,"9,146.72","9,202.72","9,146.72","9,178.23"
105/11/24,"9,164.84","9,183.16","9,137.56","9,152.11"
105/11/25,"9,149.35","9,191.34","9,148.63","9,159.07"
105/11/28,"9,167.33","9,241.54","9,167.33","9,222.24"
105/11/29,"9,220.95","9,249.06","9,192.38","9,192.38"
105/11/30,"9,196.09","9,240.71","9,189.62","9,240.71"
105/12/01,"9,245.55","9,278.96","9,241.78","9,263.53"
105/12/02,"9,214.56","9,214.56","9,165.90","9,189.49"
105/12/05,"9,194.46","9,212.19","9,138.64","9,160.66"
105/12/06,"9,209.80","9,280.65","9,209.80","9,250.77"
105/12/07,"9,279.00","9,299.92","9,247.50","9,263.89"
105/12/08,"9,308.90","9,376.41","9,308.90","9,375.86"
105/12/09,"9,383.07","9,399.25","9,366.86","9,392.68"
105/12/12,"9,402.05","9,430.34","9,336.45","9,349.94"
105/12/13,"9,361.97","9,382.14","9,342.56","9,382.14"
105/12/14,"9,395.60","9,413.13","9,353.25","9,368.52"
105/12/15,"9,337.21","9,370.51","9,309.79","9,360.35"
105/12/16,"9,352.27","9,379.75","9,326.78","9,326.78"
105/12/19,"9,316.06","9,317.03","9,237.98","9,239.32"
105/12/20,"9,229.74","9,258.69","9,199.84","9,242.41"
105/12/21,"9,234.94","9,263.50","9,204.26","9,204.26"
105/12/22,"9,204.29","9,209.72","9,118.75","9,118.75"
105/12/23,"9,112.33","9,128.83","9,078.64","9,078.64"
105/12/26,"9,088.99","9,127.74","9,083.28","9,110.54"
105/12/27,"9,120.88","9,132.05","9,100.83","9,109.27"
105/12/28,"9,120.90","9,203.56","9,120.90","9,201.40"
105/12/29,"9,172.39","9,196.02","9,149.16","9,153.09"
105/12/30,"9,186.30","9,259.09","9,186.30","9,253.50"
106/01/03,"9,252.56","9,273.65","9,235.95","9,272.88"
106/01/04,"9,279.52","9,299.62","9,266.03","9,286.96"
106/01/05,"9,282.56","9,358.42","9,282.45","9,358.14"
106/01/06,"9,371.41","9,381.11","9,351.25","9,372.22"
106/01/09,"9,376.48","9,404.90","9,328.19","9,342.42"
106/01/10,"9,344.19","9,353.60","9,319.45","9,349.64"
106/01/11,"9,370.17","9,384.00","9,333.49","9,345.74"
106/01/12,"9,356.12","9,430.58","9,356.12","9,410.18"
106/01/13,"9,373.70","9,387.68","9,352.08","9,378.83"
106/01/16,"9,356.54","9,359.01","9,281.21","9,292.33"
106/01/17,"9,301.96","9,354.53","9,294.68","9,354.53"
106/01/18,"9,344.74","9,350.95","9,322.44","9,341.97"
106/01/19,"9,324.83","9,337.64","9,287.54","9,318.12"
106/01/20,"9,326.80","9,350.07","9,317.62","9,331.46"
106/01/23,"9,363.66","9,427.46","9,363.66","9,424.05"
106/01/24,"9,423.05","9,468.34","9,416.06","9,447.95"
106/02/02,"9,502.25","9,521.34","9,413.77","9,428.97"
106/02/03,"9,450.06","9,478.01","9,423.93","9,455.56"
106/02/06,"9,467.67","9,548.68","9,467.67","9,538.01"
106/02/07,"9,527.42","9,555.80","9,512.56","9,554.56"
106/02/08,"9,540.77","9,564.07","9,505.79","9,543.25"
106/02/09,"9,555.52","9,600.09","9,540.51","9,590.18"
106/02/10,"9,612.67","9,688.15","9,612.67","9,665.59"
106/02/13,"9,690.39","9,711.43","9,681.10","9,710.32"
106/02/14,"9,726.74","9,760.01","9,698.29","9,718.78"
106/02/15,"9,724.13","9,813.98","9,723.04","9,799.76"
106/02/16,"9,826.89","9,869.59","9,753.16","9,771.25"
106/02/17,"9,779.16","9,791.59","9,754.54","9,759.76"
106/02/18,"9,771.21","9,791.35","9,770.75","9,779.92"
106/02/20,"9,795.81","9,817.14","9,743.36","9,753.20"
106/02/21,"9,761.27","9,775.49","9,721.36","9,763.93"
106/02/22,"9,786.25","9,820.07","9,770.10","9,778.78"
106/02/23,"9,774.08","9,810.56","9,748.94","9,769.31"
106/02/24,"9,757.67","9,784.39","9,740.18","9,750.47"
106/03/01,"9,751.12","9,758.78","9,674.78","9,674.78"
106/03/02,"9,727.60","9,774.60","9,646.34","9,691.80"
106/03/03,"9,672.26","9,679.82","9,633.88","9,648.21"
106/03/06,"9,647.00","9,688.50","9,647.00","9,682.63"
106/03/07,"9,690.26","9,738.07","9,690.20","9,738.07"
106/03/08,"9,744.26","9,773.49","9,712.50","9,753.45"
106/03/09,"9,740.05","9,743.78","9,650.32","9,658.61"
106/03/10,"9,653.79","9,656.65","9,562.75","9,627.89"
106/03/13,"9,656.56","9,697.34","9,656.56","9,697.34"
106/03/14,"9,720.53","9,767.66","9,720.53","9,744.21"
106/03/15,"9,741.29","9,749.01","9,714.58","9,740.31"
106/03/16,"9,768.85","9,842.17","9,768.85","9,837.83"
106/03/17,"9,845.59","9,908.69","9,835.51","9,908.69"
106/03/20,"9,905.81","9,916.18","9,869.35","9,912.97"
106/03/21,"9,923.18","9,976.61","9,918.39","9,972.49"
106/03/22,"9,911.96","9,922.66","9,843.07","9,922.66"
106/03/23,"9,921.97","9,945.24","9,897.45","9,930.74"
106/03/24,"9,914.12","9,932.68","9,892.31","9,902.98"
106/03/27,"9,907.60","9,917.85","9,859.53","9,876.77"
106/03/28,"9,909.99","9,924.14","9,799.28","9,876.45"
106/03/29,"9,887.00","9,906.76","9,831.63","9,856.25"
106/03/30,"9,869.28","9,878.62","9,836.33","9,848.15"
106/03/31,"9,846.38","9,869.65","9,811.52","9,811.52"
106/04/05,"9,856.44","9,949.48","9,856.44","9,949.48"
106/04/06,"9,946.66","9,946.66","9,879.85","9,897.80"
106/04/07,"9,892.98","9,900.88","9,788.52","9,873.37"
106/04/10,"9,880.29","9,898.64","9,859.03","9,882.54"
106/04/11,"9,881.53","9,896.59","9,820.41","9,832.42"
106/04/12,"9,831.56","9,837.19","9,789.59","9,817.68"
106/04/13,"9,808.83","9,868.45","9,800.80","9,836.68"
106/04/14,"9,806.15","9,808.33","9,730.94","9,732.93"
106/04/17,"9,740.81","9,762.47","9,670.11","9,716.40"
106/04/18,"9,735.76","9,771.07","9,727.26","9,746.56"
106/04/19,"9,725.39","9,725.39","9,631.64","9,639.94"
106/04/20,"9,639.93","9,664.24","9,622.25","9,632.69"
106/04/21,"9,657.05","9,718.82","9,657.05","9,717.41"
106/04/24,"9,742.91","9,772.96","9,683.70","9,717.95"
106/04/25,"9,737.82","9,841.71","9,737.82","9,841.71"
106/04/26,"9,859.11","9,865.88","9,827.47","9,856.45"
106/04/27,"9,859.45","9,863.52","9,823.85","9,860.62"
106/04/28,"9,868.38","9,897.04","9,845.84","9,872.00"
106/05/02,"9,926.44","9,951.14","9,925.75","9,941.27"
106/05/03,"9,957.62","9,979.91","9,937.99","9,955.33"
106/05/04,"9,962.73","9,973.76","9,938.96","9,967.64"
106/05/05,"9,954.94","9,960.99","9,899.94","9,899.94"
106/05/08,"9,934.13","9,964.86","9,900.07","9,937.25"
106/05/09,"9,967.01","10,001.94","9,899.08","9,915.48"
106/05/10,"9,935.22","9,971.98","9,932.17","9,968.32"
106/05/11,"9,968.51","10,018.79","9,964.30","10,001.48"
106/05/12,"9,981.77","10,008.25","9,961.37","9,986.82"
106/05/15,"9,978.28","10,036.82","9,978.28","10,036.82"
106/05/16,"10,037.58","10,058.59","9,991.08","10,031.49"
106/05/17,"10,019.62","10,029.62","9,967.97","10,013.67"
106/05/18,"9,952.64","9,969.45","9,895.65","9,969.45"
106/05/19,"9,970.40","9,979.73","9,947.14","9,947.62"
106/05/22,"9,965.08","9,997.26","9,960.94","9,997.26"
106/05/23,"9,994.68","10,038.20","9,992.58","10,007.84"
106/05/24,"10,014.15","10,059.74","10,014.15","10,044.42"
106/05/25,"10,059.91","10,108.49","10,059.20","10,108.49"
106/05/26,"10,090.18","10,121.88","10,072.84","10,101.95"
106/05/31,"10,095.95","10,116.13","10,025.88","10,040.72"
106/06/01,"10,064.44","10,100.37","10,059.93","10,087.42"
106/06/02,"10,117.76","10,152.53","10,117.06","10,152.53"
106/06/03,"10,155.56","10,164.98","10,140.28","10,158.15"
106/06/05,"10,164.89","10,226.84","10,164.89","10,226.84"
106/06/06,"10,213.17","10,221.64","10,190.39","10,206.18"
106/06/07,"10,216.14","10,242.39","10,183.15","10,209.99"
106/06/08,"10,215.93","10,235.70","10,211.00","10,225.78"
106/06/09,"10,238.55","10,268.37","10,198.80","10,199.65"
106/06/12,"10,137.04","10,158.64","10,109.96","10,109.96"
106/06/13,"10,109.70","10,146.67","10,109.70","10,128.15"
106/06/14,"10,142.80","10,165.31","10,033.25","10,072.46"
106/06/15,"10,079.14","10,089.07","10,046.80","10,088.35"
106/06/16,"10,078.69","10,159.47","10,073.12","10,156.73"
106/06/19,"10,162.22","10,250.60","10,162.22","10,250.60"
106/06/20,"10,286.79","10,354.37","10,286.79","10,324.46"
106/06/21,"10,310.97","10,379.82","10,274.75","10,349.72"
106/06/22,"10,369.08","10,403.36","10,368.93","10,399.06"
106/06/23,"10,403.56","10,422.33","10,374.01","10,377.70"
106/06/26,"10,341.86","10,513.96","10,341.86","10,513.96"
106/06/27,"10,513.00","10,545.70","10,489.10","10,512.06"
106/06/28,"10,459.17","10,459.17","10,382.81","10,390.55"
106/06/29,"10,442.18","10,476.51","10,390.90","10,421.65"
106/06/30,"10,367.26","10,395.07","10,329.84","10,395.07"
106/07/03,"10,368.99","10,412.79","10,363.50","10,412.79"
106/07/04,"10,397.93","10,421.72","10,347.78","10,347.78"
106/07/05,"10,352.39","10,404.79","10,304.74","10,404.79"
106/07/06,"10,380.66","10,381.20","10,336.32","10,368.20"
106/07/07,"10,343.30","10,343.30","10,294.69","10,297.25"
106/07/10,"10,310.74","10,331.11","10,283.95","10,289.91"
106/07/11,"10,313.08","10,415.57","10,313.08","10,415.57"
106/07/12,"10,396.97","10,450.87","10,393.54","10,420.68"
106/07/13,"10,418.74","10,485.28","10,418.74","10,460.15"
106/07/14,"10,450.92","10,466.34","10,423.40","10,443.91"
106/07/17,"10,467.27","10,490.05","10,436.31","10,457.54"
106/07/18,"10,447.47","10,481.26","10,429.85","10,481.26"
106/07/19,"10,472.81","10,537.42","10,472.81","10,506.10"
106/07/20,"10,513.12","10,534.52","10,483.54","10,499.36"
106/07/21,"10,468.47","10,477.72","10,428.56","10,436.70"
106/07/24,"10,426.13","10,461.28","10,406.81","10,461.28"
106/07/25,"10,455.14","10,473.98","10,442.85","10,463.15"
106/07/26,"10,477.15","10,500.11","10,416.57","10,419.11"
106/07/27,"10,427.83","10,516.23","10,427.83","10,508.37"
106/07/28,"10,480.67","10,480.67","10,410.53","10,423.05"
106/07/31,"10,396.76","10,427.33","10,366.17","10,427.33"
106/08/01,"10,408.53","10,470.03","10,408.53","10,437.29"
106/08/02,"10,479.26","10,519.27","10,479.26","10,519.27"
106/08/03,"10,464.10","10,478.62","10,427.72","10,469.88"
106/08/04,"10,470.96","10,510.70","10,466.25","10,506.56"
106/08/07,"10,521.69","10,592.31","10,521.69","10,579.38"
106/08/08,"10,598.59","10,619.42","10,533.72","10,568.97"
106/08/09,"10,523.51","10,536.19","10,457.52","10,470.38"
106/08/10,"10,470.03","10,477.79","10,303.47","10,329.74"
106/08/11,"10,267.05","10,338.06","10,238.50","10,329.57"
106/08/14,"10,347.66","10,365.22","10,225.28","10,225.28"
106/08/15,"10,271.03","10,336.22","10,271.03","10,311.16"
106/08/16,"10,302.83","10,322.38","10,245.72","10,290.39"
106/08/17,"10,302.54","10,372.41","10,302.54","10,369.37"
106/08/18,"10,324.83","10,330.39","10,259.83","10,321.33"
106/08/21,"10,316.09","10,336.37","10,282.72","10,326.39"
106/08/22,"10,353.37","10,410.47","10,353.37","10,392.07"
106/08/23,"10,418.32","10,458.91","10,378.01","10,406.81"
106/08/24,"10,414.66","10,488.96","10,410.73","10,488.96"
106/08/25,"10,497.86","10,519.84","10,478.72","10,515.51"
106/08/28,"10,502.80","10,542.37","10,498.88","10,525.98"
106/08/29,"10,518.69","10,518.69","10,463.22","10,496.57"
106/08/30,"10,511.59","10,574.53","10,511.59","10,569.40"
106/08/31,"10,586.65","10,609.48","10,551.95","10,585.78"
106/09/01,"10,576.27","10,619.52","10,568.72","10,594.82"
106/09/04,"10,585.44","10,610.04","10,555.34","10,569.87"
106/09/05,"10,584.10","10,617.84","10,564.26","10,617.84"
106/09/06,"10,593.87","10,604.92","10,519.71","10,547.86"
106/09/07,"10,564.79","10,604.02","10,509.91","10,538.51"
106/09/08,"10,553.90","10,609.95","10,550.72","10,609.95"
106/09/11,"10,630.16","10,656.25","10,565.78","10,572.16"
106/09/12,"10,610.33","10,646.55","10,586.28","10,610.35"
106/09/13,"10,596.36","10,620.31","10,532.88","10,532.88"
106/09/14,"10,533.99","10,572.71","10,508.72","10,553.57"
106/09/15,"10,556.82","10,580.78","10,520.15","10,580.41"
106/09/18,"10,590.80","10,642.40","10,581.81","10,631.57"
106/09/19,"10,653.34","10,664.18","10,561.21","10,576.14"
106/09/20,"10,568.58","10,589.19","10,490.71","10,519.17"
106/09/21,"10,506.85","10,603.08","10,493.95","10,578.44"
106/09/22,"10,571.65","10,579.02","10,446.45","10,449.68"
106/09/25,"10,442.05","10,447.09","10,322.10","10,335.89"
106/09/26,"10,333.44","10,374.54","10,257.02","10,257.02"
106/09/27,"10,322.44","10,357.23","10,315.97","10,326.68"
106/09/28,"10,351.42","10,365.59","10,288.24","10,296.45"
106/09/29,"10,319.69","10,338.95","10,273.60","10,329.94"
106/09/30,"10,362.55","10,400.40","10,362.55","10,383.94"
106/10/02,"10,425.10","10,472.81","10,414.53","10,465.16"
106/10/03,"10,462.70","10,495.34","10,445.86","10,469.35"
106/10/05,"10,473.28","10,530.93","10,473.28","10,518.27"
106/10/06,"10,538.21","10,557.67","10,511.50","10,532.81"
106/10/11,"10,576.12","10,668.49","10,576.12","10,641.19"
106/10/12,"10,668.39","10,711.44","10,668.39","10,711.44"
106/10/13,"10,712.48","10,724.09","10,675.83","10,724.09"
