Date,Quantity ,Monetary,Amount,Index,Updown
106/04/19,4375018595,88231324233,899405,9639.94,-106.62
106/04/20,3972099050,84241729031,777038,9632.69,-7.25
106/04/21,3539298570,71141764011,711662,9717.41,84.72
106/04/24,3213220312,66653796607,648179,9717.95,0.54
106/04/25,4424779652,93438289016,858803,9841.71,123.76
106/04/26,4714162637,1.03E+11,910871,9856.45,14.74
106/04/27,3886027373,83500011125,770132,9860.62,4.17
106/04/28,4246227339,1E+11,862542,9872,11.38
106/05/02,4583066720,1.13E+11,890516,9941.27,69.27
106/05/03,3897253613,80923728874,760846,9955.33,14.06
106/05/04,3579143799,75709450990,747116,9967.64,12.31
106/05/05,3702206175,75879221397,741718,9899.94,-67.7
106/05/08,3862471049,86015234087,764440,9937.25,37.31
106/05/09,4803642000,1.1E+11,941894,9915.48,-21.77
106/05/10,4203615748,91684675118,833782,9968.32,52.84
106/05/11,4597490855,98480520370,839341,10001.48,33.16
106/05/12,4252428079,93149330050,806303,9986.82,-14.66
106/05/15,4120343547,88454721807,791966,10036.82,50
106/05/16,4501384032,1.05E+11,902385,10031.49,-5.33
106/05/17,3899312658,84228391680,777400,10013.67,-17.82
106/05/18,3876042835,84073982529,766058,9969.45,-44.22
106/05/19,3537228615,70709301681,684031,9947.62,-21.83
106/05/22,3274562987,71864155555,692703,9997.26,49.64
106/05/23,3831722898,82269159789,769269,10007.84,10.58
106/05/24,3789171772,81916556826,769394,10044.42,36.58
106/05/25,4485613092,96385707053,877299,10108.49,64.07
106/05/26,3980971963,92756091654,807283,10101.95,-6.54
106/05/31,4580700178,1.25E+11,839510,10040.72,-61.23
106/06/01,3935374785,82752107040,788309,10087.42,46.7
106/06/02,4262071599,88417012089,844921,10152.53,65.11
106/06/03,2798294261,46104007889,522879,10158.15,5.62
106/06/05,4481379792,93903092656,908436,10226.84,68.69
106/06/06,4293252680,87145486178,824407,10206.18,-20.66
106/06/07,4559947908,1.04E+11,886598,10209.99,3.81
106/06/08,4040636518,86075208126,775410,10225.78,15.79
106/06/09,4677580150,1.04E+11,915527,10199.65,-26.13
106/06/12,3985616060,91468337323,780379,10109.96,-89.69
106/06/13,3602428296,82706434189,706271,10128.15,18.19
106/06/14,4552307234,1.01E+11,870178,10072.46,-55.69
106/06/15,3918532212,79321844333,712871,10088.35,15.89
106/06/16,4404312440,98019446528,767360,10156.73,68.38
106/06/19,4269513695,90699678925,796152,10250.6,93.87
106/06/20,4530397192,94891334506,802935,10324.46,73.86
106/06/21,5132712376,1.11E+11,955178,10349.72,25.26
106/06/22,4738922736,97969279194,833859,10399.06,49.34
106/06/23,4289799239,91395185958,754442,10377.7,-21.36
106/06/26,5791622097,1.35E+11,980822,10513.96,136.26
106/06/27,5598438384,1.15E+11,957427,10512.06,-1.9
106/06/28,6023213594,1.25E+11,1005185,10390.55,-121.51
106/06/29,5402821207,1E+11,885847,10421.65,31.1
106/06/30,4536306301,95304784071,766524,10395.07,-26.58
106/07/03,4453084827,85666492787,746470,10412.79,17.72
106/07/04,4893991008,92728204144,869492,10347.78,-65.01
106/07/05,4293552119,84959839288,741278,10404.79,57.01
106/07/06,3994714104,87544601839,683735,10368.2,-36.59
106/07/07,3741612587,83791845935,679599,10297.25,-70.95
106/07/10,3961608955,82621691351,727075,10289.91,-7.34
106/07/11,4808364004,1.1E+11,820143,10415.57,125.66
106/07/12,5099777806,1.12E+11,875524,10420.68,5.11
106/07/13,5724517384,1.18E+11,937638,10460.15,39.47
106/07/14,4863496117,1.01E+11,841899,10443.91,-16.24
106/07/17,4824543675,1E+11,841487,10457.54,13.63
106/07/18,4840898103,97241737168,826043,10481.26,23.72
106/07/19,5429199016,1.2E+11,980681,10506.1,24.84
106/07/20,5016236548,1.04E+11,865594,10499.36,-6.74
106/07/21,4167695472,85631515057,750886,10436.7,-62.66
106/07/24,3935837624,82964547962,732545,10461.28,24.58
106/07/25,4566876036,93217152274,811780,10463.15,1.87
106/07/26,5320582357,1.1E+11,922913,10419.11,-44.04
106/07/27,5521768225,1.1E+11,926175,10508.37,89.26
106/07/28,4504894920,98797187245,797486,10423.05,-85.32
106/07/31,4379828777,96853698866,774704,10427.33,4.28
106/08/01,5390357272,1.13E+11,950358,10437.29,9.96
106/08/02,5537089480,1.25E+11,982034,10519.27,81.98
106/08/03,5014480467,1.11E+11,911308,10469.88,-49.39
106/08/04,5216082839,1.14E+11,975513,10506.56,36.68
106/08/07,5672576274,1.28E+11,1039179,10579.38,72.82
106/08/08,5985191067,1.34E+11,1104055,10568.97,-10.41
106/08/09,5456480435,1.13E+11,978770,10470.38,-98.59
106/08/10,6392060155,1.37E+11,1133168,10329.74,-140.64
106/08/11,5864918084,1.23E+11,933305,10329.57,-0.17
106/08/14,5432947274,1.09E+11,981001,10225.28,-104.29
106/08/15,5054840403,95342619979,852563,10311.16,85.88
106/08/16,5191539359,1E+11,988309,10290.39,-20.77
106/08/17,5616791323,98969617234,950161,10369.37,78.98
106/08/18,5044204395,90157457050,895113,10321.33,-48.04
106/08/21,4578949234,86463292778,858810,10326.39,5.06
106/08/22,5549157467,1.11E+11,1002180,10392.07,65.68
106/08/23,5641405263,1.17E+11,1042119,10406.81,14.74
106/08/24,5808139755,1.18E+11,1037836,10488.96,82.15
106/08/25,6024909572,1.22E+11,1093091,10515.51,26.55
106/08/28,5890372644,1.15E+11,1040947,10525.98,10.47
106/08/29,5814380272,1.09E+11,1027443,10496.57,-29.41
106/08/30,5901288169,1.21E+11,1083348,10569.4,72.83
106/08/31,5945548107,1.29E+11,1068561,10585.78,16.38
106/09/01,6064861953,1.16E+11,1089003,10594.82,9.04
106/09/04,5498749075,1.07E+11,994838,10569.87,-24.95
106/09/05,5873609014,1.21E+11,1053207,10617.84,47.97
106/09/06,6210529776,1.3E+11,1158515,10547.86,-69.98
106/09/07,6412690437,1.33E+11,1188773,10538.51,-9.35
106/09/08,5779683575,1.23E+11,1079836,10609.95,71.44
106/09/11,5920435072,1.33E+11,1190211,10572.16,-37.79
106/09/12,5769101200,1.26E+11,1121196,10610.35,38.19
106/09/13,5853111895,1.3E+11,1096739,10532.88,-77.47
106/09/14,5522954635,1.24E+11,1054619,10553.57,20.69
106/09/15,6482820450,1.59E+11,1148796,10580.41,26.84
106/09/18,6950033376,1.36E+11,1255510,10631.57,51.16
106/09/19,6625270739,1.41E+11,1207986,10576.14,-55.43
106/09/20,5895804384,1.32E+11,1143225,10519.17,-56.97
106/09/21,5569265779,1.22E+11,989206,10578.44,59.27
106/09/22,5727401460,1.22E+11,1045965,10449.68,-128.76
106/09/25,5784894485,1.32E+11,1154076,10335.89,-113.79
106/09/26,5758755103,1.24E+11,1050424,10257.02,-78.87
106/09/27,5280623838,1.11E+11,884098,10326.68,69.66
106/09/28,5003507875,1.08E+11,897399,10296.45,-30.23
106/09/29,4925439728,1.02E+11,858030,10329.94,33.49
106/09/30,3583409388,54278685485,560930,10383.94,54
106/10/02,4720525520,1.02E+11,848525,10465.16,81.22
106/10/03,4790980468,1.09E+11,899943,10469.35,4.19
106/10/05,4672633583,1.07E+11,900642,10518.27,48.92
106/10/06,4669025799,1.09E+11,917418,10532.81,14.54
106/10/11,5950658523,1.56E+11,1183032,10641.19,108.38
106/10/12,5367696788,1.26E+11,1036278,10711.44,70.25
106/10/13,5252705145,1.24E+11,1007207,10724.09,12.65
106/10/16,5697392917,1.27E+11,1076400,10774.21,50.12
106/10/17,5300574136,1.21E+11,1054825,10723.15,-51.06
106/10/18,5743037974,1.38E+11,1148874,10720.28,-2.87
106/10/19,5461982551,1.2E+11,964094,10760.29,40.01
106/10/20,5337213956,1.26E+11,959798,10728.88,-31.41
106/10/23,4926106311,1.06E+11,907378,10735.21,6.33
106/10/24,5237811759,1.12E+11,970401,10743.78,8.57
106/10/25,5508162643,1.2E+11,1064287,10750.57,6.79
106/10/26,5218891689,1.12E+11,940182,10734.76,-15.81
106/10/27,6671349862,1.49E+11,1241644,10709.11,-25.65
106/10/30,5553482791,1.25E+11,992319,10756.87,47.76
106/10/31,5326084818,1.19E+11,964342,10793.8,36.93
106/11/01,5922894127,1.29E+11,1071018,10806.36,12.56
106/11/02,5623447218,1.2E+11,1057759,10788.51,-17.85
106/11/03,5322948383,1.16E+11,965396,10800.77,12.26
106/11/06,5351919578,1.14E+11,965308,10786.19,-14.58
106/11/07,6076222808,1.28E+11,1125887,10840.34,54.15
106/11/08,5841076483,1.21E+11,1099538,10818.99,-21.35
106/11/09,6796045791,1.49E+11,1292325,10743.27,-75.72
106/11/10,5788395239,1.2E+11,1031970,10732.67,-10.6
106/11/13,6384150746,1.3E+11,1150414,10683.92,-48.75
106/11/14,6180626160,1.25E+11,1099809,10687.18,3.26
106/11/15,5744455073,1.29E+11,1092459,10630.65,-56.53
106/11/16,5341731411,1.06E+11,964984,10625.04,-5.61
106/11/17,5974753724,1.28E+11,1066910,10701.64,76.6
106/11/20,5807282048,1.11E+11,1009220,10664.55,-37.09
106/11/21,7053601407,1.39E+11,1235509,10779.24,114.69
106/11/22,8528991161,1.8E+11,1493696,10822.59,43.35
106/11/23,6616309822,1.31E+11,1167285,10854.57,31.98
106/11/24,6581726455,1.29E+11,1157941,10854.09,-0.48
106/11/27,6542165679,1.35E+11,1145566,10750.93,-103.16
106/11/28,6703436361,1.42E+11,1204400,10707.07,-43.86
106/11/29,6677175383,1.36E+11,1230839,10713.55,6.48
106/11/30,8809780282,2.34E+11,1487866,10560.44,-153.11
106/12/01,7933236119,1.81E+11,1527375,10600.37,39.93
106/12/04,6430784687,1.3E+11,1144851,10651.11,50.74
106/12/05,6970138923,1.47E+11,1310338,10566.85,-84.26
106/12/06,7215142961,1.61E+11,1277076,10393.92,-172.93
106/12/07,6593705046,1.39E+11,1127677,10355.76,-38.16
106/12/08,6220995884,1.31E+11,1092197,10398.62,42.86
106/12/11,6037430874,1.18E+11,1035369,10473.09,74.47
106/12/12,5475479592,1.09E+11,964760,10443.28,-29.81
106/12/13,5215130556,1.04E+11,958674,10470.7,27.42
106/12/14,5600785133,1.14E+11,1027260,10538.01,67.31
106/12/15,5727664985,1.27E+11,966006,10491.44,-46.57
106/12/18,4588561055,96046418831,874477,10506.52,15.08
106/12/19,5098487325,1.13E+11,958014,10467.34,-39.18
106/12/20,5084408110,1.04E+11,946159,10504.52,37.18
106/12/21,5089181777,99221790281,912624,10488.97,-15.55
106/12/22,4591388453,91994484539,848046,10537.27,48.3
106/12/25,4356973081,81617030326,837153,10522.49,-14.78
106/12/26,5063760784,97562886205,918009,10421.91,-100.58
106/12/27,4919533526,92597567592,876258,10486.67,64.76
106/12/28,5457228746,1.1E+11,950937,10567.64,80.97
106/12/29,5349314892,1.1E+11,994709,10642.86,75.22
107/01/02,5393557894,1.04E+11,1010745,10710.73,67.87
107/01/03,6544990989,1.42E+11,1261265,10801.57,90.84
107/01/04,6740175303,1.44E+11,1320748,10848.63,47.06
107/01/05,6715972144,1.44E+11,1278348,10879.8,31.17
107/01/08,6747313493,1.39E+11,1338571,10915.75,35.95
107/01/09,6453410283,1.33E+11,1185568,10914.89,-0.86
107/01/10,6815293008,1.39E+11,1262433,10831.09,-83.8
107/01/11,5956643953,1.25E+11,1105588,10810.06,-21.03
107/01/12,6419338409,1.28E+11,1128608,10883.96,73.9
107/01/15,6273636454,1.27E+11,1083726,10956.31,72.35
107/01/16,6569860182,1.33E+11,1185510,10986.11,29.8
107/01/17,7468213298,1.49E+11,1368586,11004.8,18.69
107/01/18,7149380963,1.52E+11,1247389,11071.57,66.77
107/01/19,6276312147,1.37E+11,1125538,11150.85,79.28
107/01/22,7242725457,1.51E+11,1239223,11231.46,80.61
107/01/23,7873977230,1.65E+11,1310507,11253.11,21.65
107/01/24,7272231969,1.48E+11,1198267,11152.16,-100.95
107/01/25,7802501963,1.64E+11,1321496,11165.95,13.79
107/01/26,6638578790,1.39E+11,1139438,11147.1,-18.85
107/01/29,6316563408,1.32E+11,1094115,11221.81,74.71
107/01/30,6737209253,1.39E+11,1148525,11076.78,-145.03
107/01/31,6625691373,1.36E+11,1087145,11103.79,27.01
107/02/01,6159445664,1.23E+11,1019601,11160.25,56.46
107/02/02,5567454998,1.21E+11,936819,11126.23,-34.02
107/02/05,6014356481,1.3E+11,1082776,10946.25,-179.98
107/02/06,10480219602,2.42E+11,2040709,10404,-542.25
107/02/07,7521254378,1.76E+11,1348104,10551.54,147.54
107/02/08,6101573814,1.22E+11,1034150,10528.52,-23.02
107/02/09,6421173807,1.52E+11,1261285,10371.75,-156.77
107/02/12,4309653550,1.1E+11,920462,10421.09,49.34
107/02/21,6062820063,1.55E+11,1156041,10714.44,293.35
107/02/22,6153849673,1.28E+11,1008798,10662.38,-52.06
107/02/23,6362066582,1.28E+11,1126176,10794.55,132.17
107/02/26,6063669788,1.22E+11,1050586,10836.7,42.15
107/02/27,6624161500,1.4E+11,1111949,10815.47,-21.23
107/03/01,6409193106,1.32E+11,1119451,10785.79,-29.68
107/03/02,5540635421,1.11E+11,1006291,10698.17,-87.62
107/03/05,5336510339,1.14E+11,1028536,10642.9,-55.27
107/03/06,5085558928,1.13E+11,927193,10784.34,141.44
107/03/07,5642178343,1.23E+11,1030385,10745.32,-39.02
107/03/08,6378116374,1.21E+11,1072781,10823.24,77.92
107/03/09,6282166877,1.25E+11,1053649,10864.82,41.58
107/03/12,6991178817,1.41E+11,1186002,11002.1,137.28
107/03/13,6549500632,1.34E+11,1121634,11095.63,93.53
107/03/14,5974563971,1.2E+11,1054265,11038.8,-56.83
107/03/15,5841194632,1.13E+11,967890,11018.45,-20.35
107/03/16,6617225747,1.68E+11,1115901,11027.7,9.25
107/03/19,5611915481,1.12E+11,965124,11046.9,19.2
107/03/20,5751472968,1.12E+11,947970,11010.84,-36.06
107/03/21,6342379504,1.33E+11,1097218,11011.07,0.23
107/03/22,7131905911,1.5E+11,1221537,11005.84,-5.23
107/03/23,6868559459,1.5E+11,1232383,10823.33,-182.51
107/03/26,5643019867,1.21E+11,985624,10840.05,16.72
107/03/27,6348820225,1.31E+11,1096007,10986.79,146.74
107/03/28,5690925732,1.18E+11,1015037,10865.66,-121.13
107/03/29,5468779969,1.18E+11,1023023,10845.92,-19.74
107/03/30,5834021898,1.15E+11,1031634,10906.22,60.3
107/03/31,4423640021,76778668460,777091,10919.49,13.27
107/04/02,5336474517,1.03E+11,964508,10888.27,-31.22
107/04/03,5301492210,1.17E+11,1041381,10821.53,-66.74
107/04/09,5779699197,1.32E+11,1159616,10893.53,72
107/04/10,6989937175,1.44E+11,1273903,10927.18,33.65
107/04/11,6297419793,1.3E+11,1142506,10974.02,46.84
107/04/12,5611874271,1.11E+11,1008181,10955.29,-18.73
107/04/13,6238785909,1.26E+11,1070532,10965.39,10.1
107/04/16,6409388023,1.27E+11,1095323,10954.55,-10.84
107/04/17,6616520955,1.54E+11,1215854,10810.45,-144.1
107/04/18,6543380349,1.49E+11,1124573,10847.89,37.44
107/04/19,7111365126,1.56E+11,1191068,10971.22,123.33
107/04/20,6806918316,1.58E+11,1104024,10779.38,-191.84
107/04/23,6051313412,1.37E+11,1053887,10697.13,-82.25
107/04/24,6782959305,1.6E+11,1253403,10579.5,-117.63
107/04/25,6351251370,1.37E+11,1088785,10559.97,-19.53
107/04/26,6642525657,1.41E+11,1175271,10488.58,-71.39
107/04/27,5884380348,1.2E+11,978682,10553.43,64.85
107/04/30,6128822684,1.19E+11,944190,10657.88,104.45
107/05/02,6324416080,1.29E+11,1023004,10618.81,-39.07
